Trait	nSNP	overall_p	mscomp	File_ID	First_Author	Year	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	SNP_number	Chip	Population	Collection	FDR.overall
CTSD_Folkersen_33067605_1	1661	0.000245000338473421	PC8 (6e-05)	CTSD_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	CTSD	Cathepsin D levels	BMK	21758	0	21758		Multiple (see paper)	European		0.00163563606248453
CX3CL1_Folkersen_33067605_1	1661	0.00108231290147385	PC8 (7e-05)	CX3CL1_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	CX3CL1	Fractalkine, chemokine (C-X3-C motif) ligand 1 (CX3CL1) levels	BMK	21758	0	21758		Multiple (see paper)	European		0.0063335347567729
CXCL6_Folkersen_33067605_1	1661	9.38853567829562e-06	PC3 (8e-05)	CXCL6_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	CXCL6	C-X-C motif chemokine 6 (CXCL6, CGP-2) levels	BMK	21758	0	21758		Multiple (see paper)	European		7.94672484198593e-05
C_STROKE_FinnGen_FinnGenR7_1	1655	0.000424286290329935	PC8 (8e-05)	C_STROKE_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	C_STROKE	STROKE (FinnGen)	OTH	225597	29280	254877			European (Finnish)	FinnGen	0.00965487025106341
D3_AGRANULOCYTOSIS_FinnGen_FinnGenR7_1	1655	0.00187741220595034	PC2 (7e-05)	D3_AGRANULOCYTOSIS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	D3_AGRANULOCYTOSIS	Agranulocytosis (FinnGen)	IMD	304076	2491	306567			European (Finnish)	FinnGen	0.00627907611738013
D3_ANAEMIANAS_FinnGen_FinnGenR7_1	1655	2.64943278136604e-14	PC10 (9e-14)	D3_ANAEMIANAS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	D3_ANAEMIANAS	Other and unspecified anaemias (FinnGen)	OTH	298372	9781	308153			European (Finnish)	FinnGen	4.21482117132261e-12
D3_ANAEMIA_FinnGen_FinnGenR7_1	1655	6.36085108943093e-07	PC7 (5e-07)	D3_ANAEMIA_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	D3_ANAEMIA	Anaemias (FinnGen)	OTH	76464	19885	96349			European (Finnish)	FinnGen	3.52081703544717e-05
D3_ANAEMIA_IRONDEF_FinnGen_FinnGenR7_1	1655	2.01306213945582e-05	PC7 (2e-05)	D3_ANAEMIA_IRONDEF_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	D3_ANAEMIA_IRONDEF	Iron deficiency anaemia (FinnGen)	OTH	296964	9869	306833			European (Finnish)	FinnGen	0.000687125210267587
D3_APLASTICANDOTHANAEMIA_FinnGen_FinnGenR7_1	1655	2.34962179611783e-12	PC10 (4e-12)	D3_APLASTICANDOTHANAEMIA_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	D3_APLASTICANDOTHANAEMIA	Aplastic and other anaemias (FinnGen)	OTH	298372	10782	309154			European (Finnish)	FinnGen	2.67334746580518e-10
D3_BLOOD_FinnGen_FinnGenR7_1	1655	0.000342799474299507	PC10 (2e-03)	D3_BLOOD_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	D3_BLOOD	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (FinnGen)	IMD	278283	30871	309154			European (Finnish)	FinnGen	0.00136434190771204
D3_IMMUNEMECHANISM_FinnGen_FinnGenR7_1	1655	6.03073394869295e-05	PC2 (1e-03)	D3_IMMUNEMECHANISM_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	D3_IMMUNEMECHANISM	Certain disorders involving the immune mechanism (FinnGen)	IMD	304494	4660	309154			European (Finnish)	FinnGen	0.000282380248421152
D3_NUTRIANAEMIA_FinnGen_FinnGenR7_1	1655	1.69967944091273e-06	PC7 (3e-05)	D3_NUTRIANAEMIA_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	D3_NUTRIANAEMIA	Nutritional anaemias (FinnGen)	OTH	296964	12190	309154			European (Finnish)	FinnGen	8.49010608533969e-05
D3_OTHERANAEMIA_FinnGen_FinnGenR7_1	1655	2.67542359507783e-14	PC10 (2e-13)	D3_OTHERANAEMIA_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	D3_OTHERANAEMIA	Other anaemias (FinnGen)	OTH	298372	9903	308275			European (Finnish)	FinnGen	4.21482117132261e-12
D3_OTHERBLOOD_FinnGen_FinnGenR7_1	1655	2.38571404129137e-05	PC8 (3e-08)	D3_OTHERBLOOD_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	D3_OTHERBLOOD	Oher diseases of blood and blood-forming organs (FinnGen)	OTH	304076	1312	305388			European (Finnish)	FinnGen	0.000788055218800762
D3_PURPURA_AND3_OTHER_HAEMORRHAGIC_FinnGen_FinnGenR7_1	1655	6.86924972367159e-05	PC14 (8e-04)	D3_PURPURA_AND3_OTHER_HAEMORRHAGIC_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	D3_PURPURA_AND3_OTHER_HAEMORRHAGIC	Purpura and other haemorrhagic conditions (FinnGen)	OTH	304806	2919	307725			European (Finnish)	FinnGen	0.00195391992139992
D3_SARCOIDOSIS_FinnGen_FinnGenR7_1	1655	8.2087920360085e-06	PC2 (2e-03)	D3_SARCOIDOSIS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	D3_SARCOIDOSIS	Sarcoidosis (FinnGen)	IMD	304494	3103	307597			European (Finnish)	FinnGen	4.24298601341738e-05
D3_SCNDPOLYCYTHAEMIA_FinnGen_FinnGenR7_1	1655	1.15453528396772e-06	PC10 (2e-08)	D3_SCNDPOLYCYTHAEMIA_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	D3_SCNDPOLYCYTHAEMIA	Secondary polycythaemia (FinnGen)	OTH	304076	407	304483			European (Finnish)	FinnGen	6.22233753043655e-05
DIABETES_FG_FinnGen_FinnGenR7_1	1655	9.67015215656272e-06	PC10 (2e-04)	DIABETES_FG_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	DIABETES_FG	Diabetes, varying definitions (FinnGen)	IMD	255766	53388	309154			European (Finnish)	FinnGen	4.93425712604098e-05
DKK1_Folkersen_33067605_1	1661	2.36164083452966e-15	PC8 (3e-11)	DKK1_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	DKK1	Dickkopf-related protein 1 levels	BMK	21758	0	21758		Multiple (see paper)	European		3.19833644447731e-14
DM_HYPOGLYC_FinnGen_FinnGenR7_1	1655	0.000110415902588785	PC10 (1e-04)	DM_HYPOGLYC_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	DM_HYPOGLYC	Diabetic hypoglycemia (FinnGen)	IMD	225597	5914	231511			European (Finnish)	FinnGen	0.000499381013981096
DM_KETOACIDOSIS_FinnGen_FinnGenR7_1	1655	1.95399663838726e-05	PC6 (6e-03)	DM_KETOACIDOSIS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	DM_KETOACIDOSIS	Diabetic ketoacidosis (FinnGen)	IMD	225597	6712	232309			European (Finnish)	FinnGen	9.60111928491518e-05
DM_OTHER_WIDE_FinnGen_FinnGenR7_1	1655	4.12732063777148e-06	PC10 (4e-05)	DM_OTHER_WIDE_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	DM_OTHER_WIDE	Other diabetes, wide definition (FinnGen)	IMD	248483	47004	295487			European (Finnish)	FinnGen	2.25023782716856e-05
DM_PERIPHATHERO_FinnGen_FinnGenR7_1	1655	2.02593080196429e-05	PC8 (4e-05)	DM_PERIPHATHERO_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	DM_PERIPHATHERO	Peripheral atherosclerosis (FinnGen)	IMD	225597	11197	236794			European (Finnish)	FinnGen	9.83317633148521e-05
E4_DIABETES_FinnGen_FinnGenR7_1	1655	1.48608910035353e-05	PC10 (3e-04)	E4_DIABETES_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	E4_DIABETES	Diabetes mellitus (FinnGen)	OTH	255466	53688	309154			European (Finnish)	FinnGen	0.000543484013843577
E4_DM1NASCOMP_FinnGen_FinnGenR7_1	1655	8.91922762657378e-07	PC11 (2e-03)	E4_DM1NASCOMP_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	E4_DM1NASCOMP	Type 1 diabetes with other specified/multiple/unspecified complications (FinnGen)	IMD	255466	5055	260521			European (Finnish)	FinnGen	5.29828745578562e-06
E4_DM1NOCOMP_FinnGen_FinnGenR7_1	1655	2.2463214002794e-09	PC6 (2e-04)	E4_DM1NOCOMP_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	E4_DM1NOCOMP	Type 1 diabetes without complications (FinnGen)	IMD	255466	7205	262671			European (Finnish)	FinnGen	1.75301160257098e-08
E4_DM1_FinnGen_FinnGenR7_1	1655	6.67460372236899e-08	PC6 (1e-03)	E4_DM1_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	E4_DM1	Type 1 diabetes (FinnGen)	IMD	255466	8671	264137			European (Finnish)	FinnGen	4.50252929068281e-07
E4_DM1_STRICT_FinnGen_FinnGenR7_1	1655	0.000403440982241464	PC6 (2e-03)	E4_DM1_STRICT_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	E4_DM1_STRICT	Type 1 diabetes, strict (exclude DM2) (FinnGen)	IMD	256173	3678	259851			European (Finnish)	FinnGen	0.0015742108914912
E4_DM2NASCOMP_FinnGen_FinnGenR7_1	1655	4.83050072687305e-05	PC10 (4e-04)	E4_DM2NASCOMP_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	E4_DM2NASCOMP	Type 2 diabetes with other specified/multiple/unspecified complications (FinnGen)	OTH	255466	35857	291323			European (Finnish)	FinnGen	0.00141326649837657
E4_DM2NOCOMP_FinnGen_FinnGenR7_1	1655	1.01722056400751e-05	PC10 (2e-05)	E4_DM2NOCOMP_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	E4_DM2NOCOMP	Type 2 diabetes without complications (FinnGen)	OTH	255466	24905	280371			European (Finnish)	FinnGen	0.000416653543017476
E4_DM2_FinnGen_FinnGenR7_1	1655	5.01263078529951e-06	PC10 (2e-04)	E4_DM2_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	E4_DM2	Type 2 diabetes (FinnGen)	IMD	255466	49303	304769			European (Finnish)	FinnGen	2.66003607006561e-05
E4_DM2_STRICT_FinnGen_FinnGenR7_1	1655	7.98578231209959e-05	PC9 (1e-03)	E4_DM2_STRICT_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	E4_DM2_STRICT	Type 2 diabetes, strict (exclude DM1) (FinnGen)	OTH	256217	44266	300483			European (Finnish)	FinnGen	0.00221011921286216
E4_ENDONUTRMET_FinnGen_FinnGenR7_1	1655	1.80070459695467e-10	PC6 (2e-04)	E4_ENDONUTRMET_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	E4_ENDONUTRMET	Endocrine, nutritional and metabolic diseases (FinnGen)	OTH	190628	118526	309154			European (Finnish)	FinnGen	1.60341000633181e-08
E4_HYTHYNAS_FinnGen_FinnGenR7_1	1655	1.6255686404411e-27	PC6 (3e-10)	E4_HYTHYNAS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	E4_HYTHYNAS	Hypothyroidism,other/unspecified (FinnGen)	OTH	263704	38554	302258			European (Finnish)	FinnGen	8.32291143905843e-25
E4_HYTHY_AI_STRICT_FinnGen_FinnGenR7_1	1655	3.67848254592285e-34	PC6 (5e-12)	E4_HYTHY_AI_STRICT_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	E4_HYTHY_AI_STRICT	Hypothyroidism, strict autoimmune (FinnGen)	IMD	227415	33422	260837			European (Finnish)	FinnGen	8.1335336293183e-33
E4_HYTHY_AI_STRICT_PURCH_FinnGen_FinnGenR7_1	1655	7.10172725345023e-29	PC6 (2e-11)	E4_HYTHY_AI_STRICT_PURCH_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	E4_HYTHY_AI_STRICT_PURCH	Hypothyroidism, strict autoimmune, 3 medication purchases required (FinnGen)	IMD	271027	33059	304086			European (Finnish)	FinnGen	1.13059497874928e-27
E4_LIPOPROT_FinnGen_FinnGenR7_1	1655	1.5875152865399e-05	PC1 (9e-04)	E4_LIPOPROT_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	E4_LIPOPROT	Disorders of lipoprotein metabolism and other lipidaemias (FinnGen)	OTH	269572	28524	298096			European (Finnish)	FinnGen	0.000570391457339248
E4_METABOLIA_FinnGen_FinnGenR7_1	1655	0.000273714767616624	PC8 (6e-05)	E4_METABOLIA_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	E4_METABOLIA	Metabolic disorders (FinnGen)	OTH	269572	39582	309154			European (Finnish)	FinnGen	0.00644330855263041
E4_THYROID_FinnGen_FinnGenR7_1	1655	8.90524215550644e-23	PC6 (2e-09)	E4_THYROID_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	E4_THYROID	Disorders of the thyroid gland (FinnGen)	OTH	263704	45450	309154			European (Finnish)	FinnGen	2.60541941921103e-20
ECP_Folkersen_33067605_1	1661	6.53648551478456e-08	PC5 (2e-10)	ECP_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	ECP	Eosinophil cationic protein levels	BMK	21758	0	21758		Multiple (see paper)	European		6.88509807557307e-07
EGFR_SinnottArmstrong_33462484_1	1640	1.24818918579155e-23	PC8 (2e-17)	EGFR_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	EGFR	Estimated Glomerular Filtration Rate (eGFR)	BMK	363070	0	363070		Multiple (UKBB data & others)	Trans-ethnic	UKBB	1.97213891355065e-22
EGPAANCAn_Lyons_31719529_1	1659	0.000557952462428553	PC5 (1e-06)	EGPAANCAn_Lyons_31719529_1-hg38.tsv.gz	Lyons	2019	31719529	EGPAANCAn	ANCA negative EGPA	IMD	6688	352	7040	9246218		European		0.00211490552425299
EGPAMPO_Lyons_31719529_1	1659	0.00218185822330796	PC5 (1e-04)	EGPAMPO_Lyons_31719529_1-hg38.tsv.gz	Lyons	2019	31719529	EGPAMPO	MPO+ EGPA	IMD	6688	159	6847	9246218		European		0.00723649644063807
EGPA_Lyons_31719529_1	1659	3.28617778068149e-07	PC5 (1e-09)	EGPA_Lyons_31719529_1-hg38.tsv.gz	Lyons	2019	31719529	EGPA	Eosinophilic Granulomatosis with Polyangiitis	IMD	6688	534	7222	9246218		European		2.0435918073613e-06
ENRAGE_Folkersen_33067605_1	1661	0.000348323478186529	PC2 (2e-06)	ENRAGE_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	ENRAGE	S100 calcium-binding protein A12 (S100A12, ENRAGE) levels	BMK	21758	0	21758		Multiple (see paper)	European		0.00226171683096459
EOPL_Vuckovic_32888494_1	1661	0	PC5 (0e+00)	EOPL_Vuckovic_32888494_1-hg38.tsv.gz	Vuckovic	2020	32888494	EOPL	Eosinophil percentage of leucocytes	BC	408112	0	408112			European (UK, UKBB)	UKBB	0
EOSC_Chen_32888493_1	1661	4.63981457525202e-09	PC5 (1e-09)	EOSC_Chen_32888493_1-hg38.tsv.gz	Chen	2020	32888493	EOSC	Eosinophil count	BC	5061	0	5061		Multiple (See publication)	African		5.61661764372613e-09
EOSC_Chen_32888493_2	1661	0	PC5 (0e+00)	EOSC_Chen_32888493_2-hg38.tsv.gz	Chen	2020	32888493	EOSC	Eosinophil count	BC	524220	0	524220		Multiple (See publication)	European (Inc. UKBB)		0
EOSC_Chen_32888493_3	1649	0.000136391769332823	PC5 (3e-06)	EOSC_Chen_32888493_3-hg38.tsv.gz	Chen	2020	32888493	EOSC	Eosinophil count	BC	86893	0	86893		Multiple (See publication)	East Asian		0.000153559964074018
EOSC_Chen_32888493_4	1659	0.00043285941504561	PC8 (8e-05)	EOSC_Chen_32888493_4-hg38.tsv.gz	Chen	2020	32888493	EOSC	Eosinophil count	BC	2970	0	2970		Multiple (See publication)	Latin American (Hispanic American / Latinos)		0.000483960873766272
EOSC_Chen_32888493_5	1661	0	PC5 (0e+00)	EOSC_Chen_32888493_5-hg38.tsv.gz	Chen	2020	32888493	EOSC	Eosinophil count	BC	633846	0	633846		Multiple (See publication)	Trans-ethnic (EUR, AFR, EAS, SAS, HA)		0
EOSC_Chen_32888493_6	1661	8.4426195534773e-218	PC5 (8e-174)	EOSC_Chen_32888493_6-hg38.tsv.gz	Chen	2020	32888493	EOSC	Eosinophil count	BC	633846	0	633846		Multiple (See publication)	Trans-ethnic (EUR, AFR, EAS, SAS, HA)		1.76527499754525e-217
EOSC_Ferreira_19853236_1	1332	1.52850725366924e-15	PC5 (4e-11)	EOSC_Ferreira_19853236_1-hg38.tsv.gz	Ferreira	2009	19853236	EOSC	Eosinophil count	BC	6015	0	6015	1872254	Illumina (Australian cohort) and Perlegen (Dutch cohort) chips	European (Dutch + Australian)		2.01712842492416e-15
EOSC_Kanai_29403010_1	1515	5.28129621918073e-45	PC5 (3e-36)	EOSC_Kanai_29403010_1-hg38.tsv.gz	Kanai	2018	29403010	EOSC	Eosinophil count	BC	62076	0	62076	6108953	Illumina HumanOmniExpressExome BeadChip	East Asian (Japanese)	Jenger Riken	8.58877465947573e-45
EOSC_Sakaue_doi1011012020102320213652_1	1562	2.04400231797628e-08	PC5 (3e-03)	EOSC_Sakaue_doi1011012020102320213652_1-hg38.tsv.gz	Sakaue	2021	doi1011012020102320213652	EOSC	Eosinophil count	BC	93063	0	93063		HumanOmniExpressExome BeadChip, Illumina HumanOmniExpress, HumanExome BeadChips	East Asian (Japanese)	BBJ	2.45585353129986e-08
EOSC_Vuckovic_32888494_1	1661	0	PC5 (0e+00)	EOSC_Vuckovic_32888494_1-hg38.tsv.gz	Vuckovic	2020	32888494	EOSC	Eosinophil count	BC	408112	0	408112			European (UK, UKBB)	UKBB	0
ERYC_Ferreira_19853236_1	1332	1.33952336055136e-18	PC10 (2e-12)	ERYC_Ferreira_19853236_1-hg38.tsv.gz	Ferreira	2009	19853236	ERYC	Erythrocyte count	BC	6015	0	6015	1872254	Illumina (Australian cohort) and Perlegen (Dutch cohort) chips	European (Dutch + Australian)		1.8753327047719e-18
ERYC_Kanai_29403010_1	1515	1.12000871749604e-278	PC10 (2e-123)	ERYC_Kanai_29403010_1-hg38.tsv.gz	Kanai	2018	29403010	ERYC	Erythrocyte count	BC	108794	0	108794	6108953	Illumina HumanOmniExpressExome BeadChip	East Asian (Japanese)	Jenger Riken	2.47015621255976e-278
FG_CVD_FinnGen_FinnGenR7_1	1655	5.58109312831508e-08	PC8 (5e-07)	FG_CVD_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	FG_CVD	Cardiovascular diseases (excluding rheumatic etc) (FinnGen)	OTH	156457	152697	309154			European (Finnish)	FinnGen	3.46366022023918e-06
FG_DISVEINLYMPH_FinnGen_FinnGenR7_1	1655	1.11952692479818e-05	PC8 (2e-04)	FG_DISVEINLYMPH_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	FG_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (FINNGEN) (FinnGen)	OTH	156457	36246	192703			European (Finnish)	FinnGen	0.000432602102261636
FG_DOAAC_FinnGen_FinnGenR7_1	1655	9.39233204289841e-06	PC8 (2e-05)	FG_DOAAC_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	FG_DOAAC	Diseases of arteries, arterioles and capillaries (FINNGEN) (FinnGen)	OTH	156457	16317	172774			European (Finnish)	FinnGen	0.000392561143343999
FG_HYPERTENSION_FinnGen_FinnGenR7_1	1655	1.07365843892339e-11	PC8 (3e-09)	FG_HYPERTENSION_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	FG_HYPERTENSION	Hypertensive diseases (excluding secondary) (FinnGen)	OTH	156457	85491	241948			European (Finnish)	FinnGen	1.15729078048163e-09
G6_CARPTU_FinnGen_FinnGenR7_1	1655	0.000269023519612118	PC6 (1e-04)	G6_CARPTU_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	G6_CARPTU	Carpal tunnel syndrome (FinnGen)	OTH	273097	17198	290295			European (Finnish)	FinnGen	0.00640651358332114
GGT_SinnottArmstrong_33462484_1	1640	8.00848566583424e-61	PC5 (7e-27)	GGT_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	GGT	γ-glutamyl transpeptidase	BMK	363026	0	363026		Multiple (UKBB data & others)	Trans-ethnic	UKBB	2.71144443257531e-59
GLU_SinnottArmstrong_33462484_1	1640	2.82272014187795e-29	PC8 (2e-12)	GLU_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	GLU	Glucose	BMK	332079	0	332079		Multiple (UKBB data & others)	Trans-ethnic	UKBB	5.33806626758382e-28
GOUT_FinnGen_FinnGenR7_1	1655	3.81285702731831e-06	PC2 (2e-05)	GOUT_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	GOUT	Gout	IMD	284844	6031	290875			European (Finnish)	FinnGen	2.1076626345454e-05
GOUT_NOS_FinnGen_FinnGenR7_1	1655	0.00254075770198224	PC2 (3e-03)	GOUT_NOS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	GOUT_NOS	Gout, unspecified (FinnGen)	IMD	303123	3850	306973			European (Finnish)	FinnGen	0.00835720301974324
GOUT_STRICT_FinnGen_FinnGenR7_1	1655	0.00155201239538939	PC11 (4e-03)	GOUT_STRICT_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	GOUT_STRICT	Gout, strict definition (FinnGen)	IMD	304399	3290	307689			European (Finnish)	FinnGen	0.00527949515696562
GROA_AholaOlli_27989323_1	1660	0.000184381952372279	PC11 (6e-04)	GROA_AholaOlli_27989323_1-hg38.tsv.gz	AholaOlli	2017	27989323	GROA	C-X-C motif chemokine, Growth regulated oncogene-α (CXCL1, GROa) levels	BMK	3505	0	3505	9625429	Multiple (Meta-analysis)	European (Finnish)	Ahola-Olli	0.00124852922034943
GROA_Folkersen_33067605_1	1661	6.22985325297535e-07	PC3 (2e-07)	GROA_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	GROA	C-X-C motif chemokine, Growth regulated oncogene-α (CXCL1, GROa) levels	BMK	21758	0	21758		Multiple (see paper)	European		6.15198008731316e-06
H7_ALLERGICCONJUNCTIVITIS_FinnGen_FinnGenR7_1	1655	1.36305464112955e-09	PC5 (1e-11)	H7_ALLERGICCONJUNCTIVITIS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	H7_ALLERGICCONJUNCTIVITIS	Allergic conjunctivitis (FinnGen)	IMD	293587	15567	309154			European (Finnish)	FinnGen	1.10713417789706e-08
H7_CONJUNCTIVA_FinnGen_FinnGenR7_1	1655	0.000203166256432222	PC5 (1e-07)	H7_CONJUNCTIVA_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	H7_CONJUNCTIVA	Disorders of conjunctiva (FinnGen)	OTH	285087	24067	309154			European (Finnish)	FinnGen	0.00507420113625842
H7_CONJUNCTIVITIS_FinnGen_FinnGenR7_1	1655	1.75245976618173e-05	PC5 (3e-08)	H7_CONJUNCTIVITIS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	H7_CONJUNCTIVITIS	Conjunctivitis (FinnGen)	OTH	285087	21602	306689			European (Finnish)	FinnGen	0.00061879958640348
H7_EYE_FinnGen_FinnGenR7_1	1655	0.000396096425743133	PC5 (8e-05)	H7_EYE_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	H7_EYE	Diseases of the eye and adnexa (FinnGen)	OTH	193295	115859	309154			European (Finnish)	FinnGen	0.00911466831372962
H7_RETINOPATHYDIAB_FinnGen_FinnGenR7_1	1655	0.000920803935655023	PC10 (3e-03)	H7_RETINOPATHYDIAB_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	H7_RETINOPATHYDIAB	Diabetic retinopathy (FinnGen)	IMD	284826	5443	290269			European (Finnish)	FinnGen	0.00327214255705981
H7_RETINOPATHYDIAB_PROLIF_FinnGen_FinnGenR7_1	1655	0.000712778109093196	PC11 (2e-04)	H7_RETINOPATHYDIAB_PROLIF_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	H7_RETINOPATHYDIAB_PROLIF	Proliferative diabetic retinopathy (FinnGen)	IMD	284826	2025	286851			European (Finnish)	FinnGen	0.00257896079471902
H7_USEOFEYEANTIALLERGENS_FinnGen_FinnGenR7_1	1655	1.59070644541186e-10	PC5 (6e-12)	H7_USEOFEYEANTIALLERGENS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	H7_USEOFEYEANTIALLERGENS	Use of eye-antiallergens (taken as indicator of allergic/atopic conjunctivitis) (FinnGen)	OTH	285087	14954	300041			European (Finnish)	FinnGen	1.48080309100159e-08
H8_EXTOTITIS_FinnGen_FinnGenR7_1	1655	0.000102435462931673	PC5 (4e-04)	H8_EXTOTITIS_FinnGen_FinnGenR7_1-hg38.tsv.gz	FinnGen	2022	FinnGenR7	H8_EXTOTITIS	Otitis externa (FinnGen)	OTH	301978	4699	306677			European (Finnish)	FinnGen	0.00276036615900087
HBA1C_Sakaue_doi1011012020102320213652_1	1562	1.14469243637009e-08	PC12 (1e-02)	HBA1C_Sakaue_doi1011012020102320213652_1-hg38.tsv.gz	Sakaue	2021	doi1011012020102320213652	HBA1C	Glycated Hemoglobin (HbA1c)	BMK	71221	0	71221		HumanOmniExpressExome BeadChip, Illumina HumanOmniExpress, HumanExome BeadChips	East Asian (Japanese)	BBJ	1.26182375544052e-07
HBA1C_SinnottArmstrong_33462484_1	1640	0	PC7 (0e+00)	HBA1C_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	HBA1C	Glycated Hemoglobin (HbA1c)	BMK	345814	0	345814		Multiple (UKBB data & others)	Trans-ethnic	UKBB	0
HBC_Chen_32888493_1	1661	8.18459187342565e-10	PC10 (6e-11)	HBC_Chen_32888493_1-hg38.tsv.gz	Chen	2020	32888493	HBC	Hemoglobin concentration	BC	8545	0	8545		Multiple (See publication)	African		1.00589258902407e-09
